track,artist,genre,valence_tags,arousal_tags
Joanne,Lady Gaga,pop,3.767142857142857,4.222857142857142
The Heat,Toni Braxton,soul,7.257209302325581,5.786976744186046
We All Feel Better In The Dark,Pet Shop Boys,electronic,7.436438356164384,6.0910958904109584
Truth or Dare,They Live by Night,indie rock,7.45,6.62
Crisis,Winter Bynes,electronic,2.825,3.3
Eternal Flame,The Bangles,pop,7.540645161290322,4.937419354838711
Imperials,Ratatat,electronic,4.852272727272728,2.8579545454545454
Cunt Sucking Cannibal,GG Allin,anime,3.2007943925233646,4.349661214953271
Precision Auto,Les Savy Fav,rock,6.84,3.81
The Last Polka,Ben Folds Five,rock,6.808571428571429,5.585714285714285
Extraordinary,Joel Plaskett Emergency,rock,4.645,4.03
Land of Nod,PurrPurr,indie,6.685,4.815
Miner,No Age,noise,7.77,4.14
CrossRoads,Pete Rock,hip hop,6.833333333333333,2.913333333333333
Don’t explain,Cat Power,singer-songwriter,3.19,5.0
Waves,Wacky Southern Current,post-rock,6.8,4.05
Something More (Augustine's Confession),Switchfoot,rock,7.048333333333334,4.736666666666666
Vermillion,Mercury Rev,indie,7.170490196078431,4.856078431372549
Donkey Blood,Aidan Smith,indie,7.25,5.65
New Morning,Bob Dylan,classic rock,8.081999999999999,5.19
Octagon,Liars,post-punk,2.54,2.045
My Obsession (Album Version),Skillet,metal,3.63,4.64
\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\,0lд,electronic,5.776923076923077,5.558461538461539
Faded Flowers,Shriekback,new wave,2.58,1.625
Circular Flexing (Yee-King mix),Squarepusher,idm,4.21,4.6
Avenue of the Giants,Assembly of Dust,rock,5.235,3.11
Ascent,Hildur Guðnadóttir,contemporary classical,2.3633333333333333,3.443333333333334
Place to call my home,Dan Sartain,indie rock,2.785,1.69
Cosmos,Cynic,progressive metal,1.7793103448275862,1.1206896551724137
Swimming In The Flood,Passion Pit,electronic,5.929512195121951,4.4156097560975605
Hypnotized,Lunic,indie rock,5.83,7.27
I Had A Real Good Mother And Father,Gillian Welch,folk,3.235,0.975
Used To Be A Sweet Boy,Morrissey,alternative,4.645970149253731,3.498283582089552
Welt am Draht,Pantha du Prince,techno,5.72,4.09
Lunar Landing,Trans Am,electronic,4.95,3.7
My Town,Racoon,rock,5.57,3.38
I Think I Love You,Partridge Family,pop,6.209451219512196,4.270365853658537
In the Back of My Mind,The Beach Boys,rock,3.35,1.915
Vice,Zlam Dunk,,6.576666666666667,5.1433333333333335
Hadashi no Kiseki Instrumental,RIKKU (Marika Matsumoto),final fantasy,8.0,5.76
Blood,El-P,hip-hop,2.9,5.09
In a Station,Karen Dalton,folk,2.535217391304348,2.668260869565217
I Feel Alive,IMRI,eurovision,4.32,3.55
To Touch The Sky,2002,new age,6.606545454545455,3.1140000000000003
AT2,araabMUZIK,,7.8,5.25
Forgotten Days,Iseloh,alternative,6.313022598870058,4.411468926553672
Escape,Climber,electronic,7.45,5.05
The Medallion Calls,Klaus Badelt,soundtrack,6.629565217391305,4.995217391304347
Work That We Do,Sublime,reggae,4.997304347826088,2.9456521739130435
Bañana Baby,Space Monkeyz vs. Gorillaz,dub,5.25,3.73
I'm Just a Simple Russian Girl,Nouvelle Vague,,5.7,5.64
Glad,Glasser,indie,6.43,4.35
Your Love Is King,Sade,soul,6.946363636363638,4.3077272727272735
Future Times,Richey Hackett,electronica,1.715,1.805
Release,She Keeps Bees,blues rock,4.945,4.51
Infinity,Maturo,trance,4.9366666666666665,2.93
Adoramus,Libera,choral,7.63,5.89
Kule Kule Reprise,Konono Nº1,electronic,3.4,5.57
The Robot Cat,Logan Whitehurst and the Junior Science Club,,5.11,5.52
cootchie gorrilla (Hente Mix),the MISHAP CREW!!,dance,5.228,4.964
Lord of Ages,Blood Axis,neofolk,6.044901960784313,4.432745098039216
The Dance of J.B.Purvis (Pt.1),The Grizzly Folk,jazz,4.22,3.86
Brian Song,Monty Python,comedy,7.17846153846154,5.863589743589744
Until I Die,Ben Kweller,indie,6.015677966101694,4.086271186440678
Be My Drug,Wildhearts,hard rock,7.25,5.65
Only Time (remix),Enya,new age,6.08,3.43875
Starfox Godspeed OC ReMix,The Wingless,electronic,7.135000000000001,4.239999999999999
Beautiful Events,Prophetic Dream,synthpop,5.484382022471911,4.969325842696629
Peace on Earth (Same Place),Tryad,electronic,4.705,2.315
Of Japan,Port Blue,piano,6.470000000000001,1.95
Лузер,Лохматый,alternative,7.6,4.420000000000001
Outro,The Society of Invisibles,rock,3.52,5.36
Media Luna,Deep Forest,new age,3.34,1.405
Skinny Trees,A Dancing Beggar,shoegaze,2.86,2.045
"I Dont Know Why-  Ke go, ke go tumi",JYosna La Trobe,bhajan,2.91,2.41
K K Harpadi,Sigur Rós,ambient,6.48,4.24
The Lady Who Said She Could Fly,The Idle Race,british,6.65,4.77
Brock Is Beyond Bed and Bath,Brock Ginther,lo-fi,4.19,4.55
Some Are White Light,Caspian,post-rock,6.150576923076925,4.190576923076923
Transmutation Of Species Part 1,Talbot & Deru,noise,5.062222222222222,3.438888888888889
All My Days,Alexi Murdoch,acoustic,6.3463970588235314,3.308455882352941
Looking So,CFCF,dubstep,3.76,2.45
Sum,Au,experimental,6.45,6.95
Up Jumped the Devil,Nick Cave & The Bad Seeds,alternative,5.006666666666666,4.626666666666667
Leech,Skerror,noise,4.8,4.996666666666667
storia,Kalafina,j-pop,7.253333333333333,4.916666666666667
Giga Dance,Deerhoof,indie,5.25,6.334999999999999
Louis Loius,Teitur,indie,6.2675,3.3175
